,Full.ID,Sample.Type,Upper.Depth,Lower.Depth,Depth,Climo,Site,Horizon,Category,Pit,EEMT,AI,MAP,MAT,Elevation,CIW,pH.CaCl2,pH.DI,Silt.Percent,Sand.Percent,Clay.Percent,Random.Pit,P.Stock.kg.m2.43cm.pit,N.Stock.kg.m2.43cm.pit,P.Stock.Pit.O.A.B.CwGeo,N.Stock.Pit.O.A.B.CwGeo,N.mmol.kgsoil,P.mmol.kgsoil,soil.molar.N.P,soil.N.mg.kg,soil.P.mg.kg,soil.mass.N.P,Olsen_P,Olsen_P.mmol.kg,Olsen.percent.of.total,soil.P.percent,P.Stock.kg.m2,soil.N.percent,N.Stock.kg.m2,soil.C.mg.kg,soil.C.percent,soil.molar.C.N,soil.molar.C.P,MB.N.P,MB.N.P.molar,MB.C.mmol.kg,MB.N.mmol.kg,MB.P.mmol.kg,MBP.percent,MBN.percent,MBC,MBP,MBN,mmolMBP.mmolMBC,mmolMBN.mmolMBC,MB.N.P.MBC,mmolMBP.mmolSOC,mmolMBN.mmolSOC,mmolMBC.mmolSOC,MBC.percent,MB.C.N.molar,MB.C.P.molar,Enzyme.N.P.molar,Enzyme.N.P.mass,NAG.corr,AP.corr,BG.corr,NAG.SOC,AP.SOC,NAG.MBC,AP.MBC,BG.SOC,BG.MBC,Enzyme.C.N.molar,Enzyme.C.P.molar,Root.N.mg.kg,Root.P.mg.kg,Root.N.mmol.kg,Root.P.mmol.kg,Root.N.P.mmol.kg,Root.N.P.mg.kg,Root.C.mg.kg,Root.C.mmol.kg,Root.C.N.mmol.kg,Root.C.P.mmol.kg,NMR.Ortho.Percent,NMR.DNA.Percent,NMR.Pyro.Percent,NMR.Phosphonate.Percent,NMR.Phospholipid.A.B.RNA.Corr.Percent,NMR.Diester.2.Percent,NMR.Mono.A.B.RNA.Corr.Percent,NMR.Die.Region.A.B.RNA.Percent,NMR.Mono.Die.Region.A.B.RNA,NMR.Total.Inorganic.Percent,NMR.Total.Organic.Percent,Ca.Pi.Percent,Ca.Po.Percent,Al.Pi.Percent,Al.Po.Percent,Fe.Pi.Percent,Fe.Po.Percent,Na.Pi.Percent,Na.Po.Percent,XANES.Total.Inorganic.Percent,XANES.Total.Organic.Percent,C.mmol.kgsoil,C.g.kg.Bd.thick.gravel.weighted,P.Stock.kg.m2.43cm.pit.log,N.Stock.kg.m2.43cm.pit.log,P.Stock.Pit.O.A.B.CwGeo.log,N.Stock.Pit.O.A.B.CwGeo.log,N.mmol.kgsoil.log,P.mmol.kgsoil.log,C.mmol.kgsoil.log,soil.molar.N.P.log,soil.molar.C.N.log,soil.molar.C.P.log,soil.N.mg.kg.log,soil.P.mg.kg.log,soil.C.mg.kg.log,soil.mass.N.P.log,Olsen_P.log,Olsen_P.mmol.kg.log,Olsen.percent.of.total.log,soil.P.percent.log,soil.C.percent.log,P.Stock.kg.m2.log,soil.N.percent.log,N.Stock.kg.m2.log,MB.N.P.log,MB.C.N.molar.log,MB.C.P.molar.log,MB.N.P.molar.log,MB.C.mmol.kg.log,MB.N.mmol.kg.log,MB.P.mmol.kg.log,MBP.percent.log,MBN.percent.log,MBC.percent.log,MBC.log,MBP.log,MBN.log,mmolMBP.mmolMBC.log,mmolMBN.mmolMBC.log,MB.N.P.MBC.log,mmolMBP.mmolSOC.log,mmolMBN.mmolSOC.log,mmolMBC.mmolSOC.log,Enzyme.N.P.molar.log,Enzyme.C.N.molar.log,Enzyme.C.P.molar.log,Enzyme.N.P.mass.log,BG.corr.log,NAG.corr.log,AP.corr.log,NAG.SOC.log,AP.SOC.log,BG.SOC.log,NAG.MBC.log,AP.MBC.log,BG.MBC.log,Root.N.mg.kg.log,Root.P.mg.kg.log,Root.C.mg.kg.log,Root.N.mmol.kg.log,Root.P.mmol.kg.log,Root.C.mmol.kg.log,Root.N.P.mmol.kg.log,Root.C.N.mmol.kg.log,Root.C.P.mmol.kg.log,Root.N.P.mg.kg.log
651,SJER P3 R1 13-43,Soil,13,43,28,CZO,SJER,A,A,AA,22.294,0.56,502,16.7,400,50.04172713,4.99,5.02,13.28,80.98,5.74,K,NA,NA,NA,NA,39.27,31.89,1.231420508,550.1727,987.6333,0.556934979,11.49282163,0.371095306,1.163672957,0.09876333,0.4007,0.05501727,0.22,5400,0.54,11.44868857,14.09814989,NA,NA,5.003639117,0.62607795,NA,NA,0.000876929,60.09870944,NA,8.769286019,NA,0.125124521,NA,NA,0.001392553,0.011129338,0.006009871,7.992238185,NA,0.151480836,0.068509739,14.73204664,97.25353389,58.87735719,3.28E-05,0.000216316,0.002944266,0.01943656,0.000130958,0.011766907,3.996549741,0.605400697,10418.61818,1091.781818,743.8310366,35.25288402,21.09986338,9.542765787,294069,24483.91851,32.91596788,694.5224253,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,449.59,NA,NA,NA,NA,NA,1.60498163,1.503654519,2.652816643,0.090406382,1.058755742,1.149162124,2.741287698,2.994595725,3.73239376,-0.254195505,1.060426666,-0.430514539,0.065830942,-1.005404275,-0.26760624,-0.397180658,0.023259569,0.086359831,NA,0.902668418,NA,NA,0.699285979,-0.203371592,NA,NA,-3.057035765,-2.221134854,1.778865146,NA,0.942964235,NA,-0.902657571,NA,NA,-2.856188235,-1.953530664,-0.819642306,0.601685223,-0.217957083,-1.164247685,1.769948308,1.168263085,1.987905391,-4.484553558,-3.664911252,-3.882868335,-2.531022894,-1.711380588,-1.929337671,4.017810122,3.038135858,5.468449245,2.871474295,1.547194652,4.388880925,1.324279643,1.51740663,2.841686273,0.979674265
652,SJER P3 R1 43-85,Soil,43,85,64,CZO,SJER,C,C,AA,22.294,0.56,502,16.7,400,50.24676057,5.01,5.03,5.83,88.92,5.25,K,NA,NA,NA,NA,12.14,46.45,0.261356297,170.0814,1438.5565,0.11817948,33.39595429,1.078332396,2.321490625,0.14385565,1.0317,0.01700814,0.12,1400,0.14,9.601317957,2.509364909,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.553261428,0.250221726,61.22434189,110.6607813,69.19282753,0.00052526,0.000949389,NA,NA,0.000593624,NA,1.130152247,0.625269646,9234.470735,1415.790785,659.2895354,45.71491072,14.42176141,6.522482582,279906,23304.71996,35.34823277,509.7837793,94,0.13,0.04,0,2.153325372,0,3.68,2.28,1.61,94.04,5.96,48.5,0,49.4,0,0,0,0,0,97.9,0,116.56,1.122750619,NA,NA,NA,NA,1.118595365,1.666985718,2.066549539,-0.582767032,0.982330852,0.39956382,2.233202796,3.157926924,3.146128036,-0.927457926,1.523693858,0.032752653,0.365766934,-0.842073076,-0.853871964,0.013553431,0.007324429,0.049218023,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-0.257069607,0.053136953,-0.203932654,-0.601674985,1.840061078,1.786924126,2.043993732,-3.279625413,-3.022555807,-3.226488461,NA,NA,NA,3.965412009,3.150999081,5.447012208,2.819076182,1.660057876,4.367443889,1.159018306,1.548367706,2.707386013,0.814412928
653,SJER P3 R1 85-110,Soil,85,110,97.5,CZO,SJER,C,Cr,AA,22.294,0.56,502,16.7,400,50.59470749,5.05,5.07,10.94,82.01,7.05,K,NA,NA,NA,NA,3.57,28.58,0.124912526,50.0157,885.1226,0.056483772,8.197362248,0.264687189,0.926127324,0.08851226,0.3367,0.00500157,0.02,600,0.06,13.99159664,1.747725682,NA,NA,4.02824949,NA,NA,NA,NA,48.38330463,NA,NA,NA,NA,NA,NA,NA,0.080645635,0.00483833,NA,NA,0.473194265,0.214010013,43.59286296,92.12466459,55.97463822,0.00087273,0.001844338,0.010821788,0.022869652,0.001120613,0.013895524,1.284032165,0.607596657,12277.6247,1833.349169,876.5536993,59.19758376,14.80725468,6.696828355,345765,28788.08063,32.84234685,486.3049942,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,49.95,NA,NA,NA,NA,NA,0.6599162,1.456062224,1.698535493,-0.903394008,1.145867276,0.242473268,1.70770385,2.94700343,2.77815125,-1.248076307,0.913674127,-0.577267078,-0.033329302,-1.05299657,-1.22184875,-0.472756884,0.00216674,0.008600172,NA,NA,NA,NA,0.605116361,NA,NA,NA,NA,-2.315304472,1.684695528,NA,NA,NA,NA,NA,NA,NA,-1.093419132,-0.324960527,0.108575903,-0.216384624,-0.669565906,1.747991295,1.639415392,1.96437592,-3.0591201,-2.734159573,-2.950544197,-1.965700969,-1.640740441,-1.857125066,4.089114354,3.263245186,5.53878103,2.942778527,1.772303981,4.45921271,1.170474546,1.516434183,2.68690873,0.825869168
655,SJER P4 R1 0-15,Soil,0,15,7.5,CZO,SJER,A,A,AA,22.294,0.56,502,16.7,400,44.08703938,5.03,4.99,20.07,74.68,5.25,L,0.3268,0.3219,0.77,0.54,64.25,18.19,3.532160528,900.1425,563.3443,1.597663809,8.834694723,0.285266216,1.568258474,0.05633443,0.1155,0.09001425,0.18,8800,0.88,11.40326848,40.27817482,NA,NA,NA,0.07463013,NA,NA,0.000104532,NA,NA,1.045321837,NA,NA,NA,NA,0.000101862,NA,NA,NA,NA,0.218190661,0.098680373,20.86484534,95.62666522,60.48293553,2.85E-05,0.00013052,NA,NA,8.26E-05,NA,2.898796255,0.632490272,13991.83099,857.746479,998.9384359,27.69604388,36.06791064,16.31231527,414684,34526.21413,34.56290487,1246.611764,81.69,0.29,0.36,0,9.68900822,0,7.97,9.98,0.8,82.05,17.95,0,0,47.4,0,39.2,11.9,0,0,86.6,11.9,732.66,5.072692503,-0.485717952,-0.492279023,-0.113509275,-0.26760624,1.814580516,1.259832699,2.864902482,0.548040433,1.05702935,1.605069783,2.954793473,2.750773904,3.944482672,0.203485397,0.946191547,-0.544749658,0.195417643,-1.249226096,-0.055517328,-0.937418016,0.037432176,0.071882007,NA,NA,NA,NA,NA,-1.127085804,NA,NA,-3.980749977,NA,NA,NA,0.019250023,NA,NA,NA,NA,-3.991988286,NA,-0.661163841,0.462217692,-0.19894615,-1.00576922,1.781632861,1.31941517,1.980579011,-4.545487312,-3.884323471,-4.08326962,NA,NA,NA,4.145874551,2.933358944,5.617717279,2.999538724,1.442417739,4.53814896,1.557120985,1.538610236,3.095731221,1.212515607
656,SJER P4 R1 15-40,Soil,15,40,27.5,CZO,SJER,A,A,AA,22.294,0.56,502,16.7,400,44.63344961,4.99,5.07,16.19,76.84,6.97,L,NA,NA,NA,NA,21.42,14.98,1.429906542,300.0942,463.9306,0.646502306,6.863298249,0.22161118,1.479380375,0.04639306,0.1893,0.03000942,0.12,3200,0.32,12.4379085,17.78504673,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.066067806,0.029880269,2.027879556,30.69391381,7.035318987,7.61E-06,0.000115209,NA,NA,2.64E-05,NA,3.469298246,0.229208925,NA,NA,NA,NA,NA,NA,461885,38456.12662,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,266.42,NA,NA,NA,NA,NA,1.350635608,1.175511813,2.425566824,0.155307653,1.094747357,1.250055011,2.47870239,2.666453019,3.505149978,-0.189429922,0.836532872,-0.654408334,0.170079853,-1.333546981,-0.494850022,-0.722849386,0.012841197,0.049218023,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-1.180010112,0.540241637,-0.639768476,-1.524615491,0.847283793,0.307042157,1.487052269,-5.118524667,-3.938514555,-4.57828303,NA,NA,NA,NA,NA,5.664533858,NA,NA,4.584965539,NA,NA,NA,NA
657,SJER P4 R1 40-65,Soil,40,65,52.5,CZO,SJER,B,B,AA,22.294,0.56,502,16.7,400,46.33687933,5.14,4.92,15.7,76.05,8.25,L,NA,NA,NA,NA,21.42,14.25,1.503157895,300.0942,441.3225,0.679894839,9.335989162,0.301452669,2.115457327,0.04413225,0.1832,0.03000942,0.12,2000,0.2,7.773576097,11.68491228,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.223020017,0.100864529,8.262829509,37.04972139,9.560698339,4.96E-05,0.000222507,NA,NA,5.74E-05,NA,1.157073171,0.258050479,7640.233372,493.162194,545.4699088,15.92386807,34.25486236,15.49233389,458432,38168.63297,69.97385621,2396.944813,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,166.51,1.661170957,NA,NA,NA,NA,1.350635608,1.153814864,2.221440321,0.177004602,0.890620854,1.067625456,2.47870239,2.64475607,3.301029996,-0.167558255,0.970160339,-0.520780866,0.325404269,-1.35524393,-0.698970004,-0.737074531,0.012841197,0.049218023,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-0.651656155,0.063360824,-0.588295331,-0.996261533,0.980489615,0.917128792,1.568784946,-4.304311529,-3.652655374,-4.240950705,NA,NA,NA,3.883106624,2.692989776,5.661274925,2.736770797,1.202048571,4.581706606,1.534722227,1.844935808,3.379658035,1.190116848
658,SJER P4 R1 65-95,Soil,65,95,80,CZO,SJER,B,B,AA,22.294,0.56,502,16.7,400,50.37881372,4.9,5.03,18.09,69.01,12.9,L,NA,NA,NA,NA,14.28,16.93,0.843473125,200.0628,524.3221,0.381468271,10.8380188,0.349952173,2.067053592,0.05243221,0.2823,0.02000628,0.11,1400,0.14,8.162464986,6.884819846,NA,NA,0.321477725,NA,NA,NA,NA,3.861268951,NA,NA,NA,NA,NA,NA,NA,0.002758045,0.000386127,NA,NA,0.048484848,0.021928083,0.333902453,6.886738094,0.973882155,2.86E-06,5.91E-05,0.001038649,0.021422132,8.36E-06,0.003029392,2.916666668,0.141414141,6580.663507,371.943128,469.8225497,12.00978779,39.11997096,17.69266055,518035,43131.12475,91.8030111,3591.331128,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,116.56,NA,NA,NA,NA,NA,1.184123354,1.228656958,2.066549539,-0.073928751,0.911821331,0.837892581,2.303331726,2.719598163,3.146128036,-0.418541579,1.0349499,-0.455991305,0.315351737,-1.280401837,-0.853871964,-0.549289122,0.008602846,0.045322979,NA,NA,NA,NA,-0.492849114,NA,NA,NA,NA,-3.413269947,0.586730053,NA,NA,NA,NA,NA,NA,NA,-2.559398653,-1.314393957,0.464886798,-0.849507159,-1.658999336,-0.011493592,-0.47638039,0.838013567,-5.542929929,-4.228535972,-5.078043131,-2.983531276,-1.669137319,-2.518644478,3.818269684,2.570476539,5.714359103,2.671933857,1.079535334,4.634790784,1.592398524,1.962856926,3.55525545,1.247793145
835,SPR P1 O,Organic,5,0,2.5,CZO,SPR,O,O,BB,29.1,1.16,860,13.6,1160,52.0009553,NA,NA,NA,NA,NA,M,NA,NA,2,0.9,863.85,23.69,36.46475306,12102.5385,733.6793,16.49162453,NA,NA,NA,0.07336793,0.0026,1.21025385,0.04,590990,59.099,56.96000463,2077.032503,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,10323.64061,708.23804,737.0501696,22.86851921,32.22990359,14.57651245,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,49204.9,590.99,NA,NA,0.301029996,-0.045757491,2.93694079,1.374565061,4.692008354,1.561873277,1.755570016,3.317443293,4.082912356,2.865506266,5.771580132,1.217263438,NA,NA,NA,-1.134493734,1.771580132,-2.585026652,0.344442156,0.017033339,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,4.013832877,2.850179249,NA,2.86749705,1.359238044,NA,1.508259006,NA,NA,1.163653628
836,SPR P1 R1 0-5,Soil,0,5,2.5,CZO,SPR,A,A,BB,29.1,1.16,860,13.6,1160,59.5754913,4.74,5.5,28.75,64.5,6.75,M,0.2208,0.5229,NA,NA,642.54,35.51,18.09462123,9001.9854,1099.7447,8.184547249,34.67165539,1.119523907,3.152700385,0.10997447,0.0483,0.90019854,0.4,52800,5.28,6.841550721,123.7952689,NA,NA,49.01305439,3.28402775,NA,NA,0.004599839,588.6957963,NA,45.99839148,NA,0.067003124,NA,NA,0.000747054,0.011149543,0.05886958,14.92505008,NA,NA,NA,NA,70.34631925,23.67115344,NA,1.60E-05,NA,0.001435257,5.38E-06,0.000482956,NA,0.336494556,9014.736842,1099.789474,643.601765,35.51144572,18.12378381,8.196784071,555900,46283.73034,71.91361624,1303.346834,94.08,0.58,0.45,0,3.956796505,0,0.94,4.53,0.21,94.53,5.47,0,0,74.7,0,14.7,0,0,10.1,89.4,10.1,4395.97,10.67805264,-0.656000931,-0.281581358,NA,NA,2.808575546,1.550350672,3.64305472,1.257549497,0.835154551,2.092704048,3.954386546,3.041291878,4.722633923,0.91299466,1.539974577,0.049033372,0.4986827,-0.958708122,0.722633923,-1.316052869,0.27879898,0.146128036,NA,1.173915797,NA,NA,1.690311768,0.516406818,NA,NA,-2.337257355,-1.230109065,2.769890935,NA,1.662742645,NA,-1.173904949,NA,NA,-3.126647902,-1.952742952,NA,NA,-0.473021958,NA,1.374219421,NA,1.847241379,NA,-4.795813341,-5.268835299,NA,-2.843070389,-3.316092347,3.954953053,3.041309559,5.744996674,2.808617226,1.550368353,4.665428355,1.258248873,1.856811128,3.115060001,0.913643495
848,SPR P1 R1 5-22,Soil,5,22,13.5,CZO,SPR,A,A,BB,29.1,1.16,860,13.6,1160,61.18877799,5.62,4.82,28.75,63.23,8.02,M,NA,NA,NA,NA,35.7,23.47,1.521090754,500.157,726.8659,0.687819843,34.6020701,1.117277046,4.760447574,0.07268659,0.1141,0.0500157,0.08,11100,1.11,25.88655462,39.37579889,NA,NA,2.262520969,NA,NA,NA,NA,27.17513936,NA,NA,NA,NA,NA,NA,NA,0.002448218,0.002717514,NA,NA,0.34712666,0.156993832,44.18089931,127.276019,65.48196382,4.78E-05,0.000137722,0.019527288,0.056254073,7.09E-05,0.028942036,1.482132886,0.514487838,7546.135458,850.996016,538.7518443,27.47807607,19.60660721,8.867415729,588500,48997.9768,90.94720941,1783.166211,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,924.15,NA,NA,NA,NA,NA,1.564666064,1.37051309,2.965742468,0.182155127,1.413074252,1.595229378,2.699973801,2.861454295,4.045322979,-0.1625253,1.539102082,0.048160876,0.677647787,-1.138545705,0.045322979,-0.942714356,0.021195793,0.033423755,NA,NA,NA,NA,0.354592613,NA,NA,NA,NA,-2.56582822,1.43417178,NA,NA,NA,NA,NA,NA,NA,-2.611149855,-0.459512031,0.170887144,-0.288624887,-0.804117409,1.816121696,1.645234552,2.104746583,-4.320507916,-3.860995885,-4.149620772,-1.709358061,-1.24984603,-1.538470917,3.877724597,2.929927527,5.769746467,2.73138877,1.438986322,4.690178148,1.292402448,1.958789378,3.251191826,0.94779707
842,SPR P1 R1 22-43,Soil,22,43,32.5,CZO,SPR,A,A,BB,29.1,1.16,860,13.6,1160,63.74036957,5.68,4.92,28.17,63.4,8.43,M,NA,NA,NA,NA,14.28,7.74,1.84496124,200.0628,239.7078,0.83392403,6.342856183,0.204806464,2.646078343,0.02397078,0.0584,0.02000628,0.05,2800,0.28,16.32492997,30.11886305,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.217456359,0.098348272,15.70762876,72.2334763,16.57226888,6.74E-05,0.000309855,NA,NA,7.11E-05,NA,1.055045872,0.229426434,6455.2019,667.83848,460.865293,21.56404521,21.37193132,9.665813057,658600,54834.43929,118.9814901,2542.864234,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,233.12,NA,NA,NA,NA,NA,1.184123354,0.888740961,2.367579534,0.265987247,1.212851327,1.478838574,2.303331726,2.379682166,3.447158031,-0.078873512,0.802284864,-0.688656341,0.422602698,-1.620317834,-0.552841969,-1.233587153,0.008602846,0.021189299,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-0.662627888,0.023271343,-0.639356545,-1.007233266,1.219381971,1.196110628,1.858738516,-4.171468906,-3.508841018,-4.148197563,NA,NA,NA,3.80990983,2.824671439,5.818621726,2.663574003,1.333730234,4.739053407,1.32984377,2.075479404,3.405323173,0.985238391
847,SPR P1 R1 43-60,Soil,43,60,51.5,CZO,SPR,B,B,BB,29.1,1.16,860,13.6,1160,67.66913453,4.91,5.64,27.75,58.91,13.34,M,NA,NA,NA,NA,14.28,5.99,2.383973289,200.0628,185.5103,1.077934677,5.078361495,0.1639768,2.737509181,0.01855103,0.0397,0.02000628,0.04,2500,0.25,14.57563025,34.74791319,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,6379.701493,625.074627,455.4749865,20.1832298,22.56700196,10.20630372,532700,44352.11936,97.37553253,2197.473833,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,208.14,1.503723812,NA,NA,NA,NA,1.184123354,0.777426822,2.31835555,0.377301385,1.163627343,1.540928728,2.303331726,2.268368028,3.397940009,0.032592443,0.705723612,-0.785217593,0.437355584,-1.731631972,-0.602059991,-1.401209493,0.008602846,0.017033339,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3.804800359,2.79593187,5.726482697,2.658464532,1.304990665,4.646914377,1.353473867,1.988449846,3.341923712,1.008868488
849,SPR P1 R1 60-108,Soil,60,108,84,CZO,SPR,B,B,BB,29.1,1.16,860,13.6,1160,67.63039332,4.83,5.44,19.35,59.88,20.76,M,NA,NA,NA,NA,7.14,5.95,1.2,100.0314,184.2715,0.54232876,0.933728465,0.03014945,0.506713445,0.01842715,0.1193,0.01000314,0.06,1500,0.15,17.49159664,20.98991597,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.188055188,0.085051101,9.378401969,49.8704772,8.435849007,7.51E-05,0.000399315,NA,NA,6.75E-05,NA,0.899497487,0.169155169,6377.142857,348.270677,455.2923142,11.24542063,40.48690832,18.31088081,549700,45767.52396,100.5233836,4069.881017,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,124.89,NA,NA,NA,NA,NA,0.910624405,0.774516966,2.096527666,0.079181246,1.242829454,1.3220107,2.004456371,2.265458171,3.176091259,-0.265737364,-0.029779401,-1.520720607,-0.295237572,-1.734541829,-0.823908741,-0.923359556,0.004322724,0.025305865,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-0.725714681,-0.046000045,-0.771714726,-1.070320059,0.926128798,0.972128843,1.697843524,-4.124398822,-3.398684142,-4.170398868,NA,NA,NA,3.804626146,2.54191691,5.740125737,2.658290319,1.050975705,4.660557418,1.607314614,2.002267099,3.609581713,1.262709236
837,SPR P1 R1 108-140,Soil,108,140,124,CZO,SPR,B,B,BB,29.1,1.16,860,13.6,1160,62.84331636,5.74,4.77,17.43,63.95,18.62,M,NA,NA,NA,NA,7.14,11.77,0.606627018,100.0314,364.5169,0.274318319,10.70984863,0.345813646,2.938093852,0.03645169,0.1845,0.01000314,0.05,900,0.09,10.49439776,6.366185217,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.64705405,0.292641006,61.69804263,95.35222392,67.12264164,0.000823409,0.001272551,NA,NA,0.000895805,NA,1.087921736,0.703944165,NA,NA,NA,NA,NA,NA,538400,44826.6962,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,74.93,NA,NA,NA,NA,NA,0.910624405,1.070776463,1.874655733,-0.217078251,1.020957521,0.80387927,2.004456371,2.561717668,2.954242509,-0.561745189,1.029783333,-0.461157873,0.468065664,-1.438282332,-1.045757491,-0.73400363,0.004322724,0.021189299,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-0.18905944,0.036597654,-0.152461787,-0.533664819,1.82686904,1.790271386,1.979330827,-3.084384346,-2.895324906,-3.047786693,NA,NA,NA,NA,NA,5.731105051,NA,NA,4.651536732,NA,NA,NA,NA
838,SPR P1 R1 140-150,Soil,140,150,145,CZO,SPR,B,B,BB,29.1,1.16,860,13.6,1160,60.48291633,5.72,4.74,13.46,70.47,16.07,M,NA,NA,NA,NA,7.14,11.24,0.635231317,100.0314,348.1028,0.287315041,11.16764951,0.360595722,3.208146993,0.03481028,0.0555,0.01000314,0.02,2100,0.21,24.48739496,15.55516014,NA,NA,5.473579301,0.025392596,NA,NA,3.56E-05,65.74316098,NA,0.355666475,NA,0.004639121,NA,NA,0.000145233,0.031306219,0.006574316,215.5634662,NA,0.083548665,0.03778628,3.275990827,39.21057062,9.564542291,1.87E-05,0.000224265,0.00059851,0.007163607,5.47E-05,0.001747402,2.919587629,0.243927649,NA,NA,NA,NA,NA,NA,527200,43894.19434,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,174.84,NA,NA,NA,NA,NA,0.910624405,1.050766311,2.242640798,-0.197068099,1.388942586,1.191874487,2.004456371,2.541707517,3.322219295,-0.541641638,1.047961775,-0.44297943,0.506254259,-1.458292483,-0.677780705,-1.255707017,0.004322724,0.008600172,NA,2.333575158,NA,NA,0.738271414,-1.595292896,NA,NA,-4.448957069,-2.182149419,1.817850581,NA,-0.448957069,NA,-2.333564311,NA,NA,-3.837933694,-1.504369383,-1.078060485,0.465321515,-0.612738971,-1.422665864,0.980664192,0.515342677,1.593403163,-4.727298121,-3.649237635,-4.261976606,-3.222928737,-2.144868252,-2.757607223,NA,NA,5.721975402,NA,NA,4.642407082,NA,NA,NA,NA
